game_id,player,season,date,team,opponent,location,city,w_l,route,distance,tz,flight_time,team_rest,player_rest,games_played,mins,pts,shift_hrs,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,pct_ft,fg2m,fg2a,pct_fg2,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,plusminus,b2b,b2b_1st,b2b_2nd,x3in4,x4in5,x5in7,traveling_west,traveling_east,pctEFG,pctTS,pctUSG,ortg,drtg,netrtg,pacePer40PACE_PER40,ratioPIE
21100715,Kawhi Leonard,2011-12,2012-03-24,San Antonio Spurs,New Orleans Hornets,Away,New Orleans,W,San Antonio - New Orleans,516,America/Chicago,~1.15 hours,0,0,45,25,8,0,3,12,0.25,0,1,0,1,3,11,0.2727272727272727,2,2,5,2,7,0,1,2,0,1,-2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.25,0.311,0.213,97.9,102.1,-4.3,74.1,0.056
21100723,Kawhi Leonard,2011-12,2012-03-25,San Antonio Spurs,Philadelphia 76ers,Home,San Antonio,W,New Orleans - San Antonio,516,America/Chicago,~1.15 hours,0,0,46,32,11,0,4,7,0.571,1,2,0.5,1,3,5,0.6,2,2,1,9,10,2,1,0,1,1,5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.643,0.698,0.122,88.2,83.3,4.9,82.74,0.18
21100740,Kawhi Leonard,2011-12,2012-03-27,San Antonio Spurs,Phoenix Suns,Away,Phoenix,W,San Antonio - Phoenix,847,America/Phoenix,~1.88 hours,1,1,47,32,14,-1,6,11,0.545,1,3,0.3333333333333333,1,5,8,0.625,1,1,2,5,7,1,1,0,1,2,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.591,0.612,0.171,114.5,108.1,6.5,78.44,0.113
21100750,Kawhi Leonard,2011-12,2012-03-28,San Antonio Spurs,Sacramento Kings,Away,Sacramento,W,Phoenix - Sacramento,629,America/Los_Angeles,~1.4 hours,0,0,48,33,19,-1,8,11,0.727,3,4,0.75,NA,5,7,0.7142857142857143,0,0,4,5,9,2,2,0,3,2,14,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.864,0.864,0.184,127.7,107.8,19.9,77.72,0.151
21100774,Kawhi Leonard,2011-12,2012-03-31,San Antonio Spurs,Indiana Pacers,Home,San Antonio,W,Sacramento - San Antonio,1453,America/Chicago,~3.23 hours,2,2,49,24,5,2,2,5,0.4,1,2,0.5,NA,1,3,0.3333333333333333,0,0,1,1,2,2,2,0,1,3,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,0.5,0.111,114.9,95.6,19.3,76.56,0.043
21100792,Kawhi Leonard,2011-12,2012-04-03,San Antonio Spurs,Cleveland Cavaliers,Away,Cleveland,W,San Antonio - Cleveland,1256,America/New_York,~2.79 hours,2,2,50,19,8,1,3,7,0.429,0,2,0,1,3,5,0.6,2,2,2,1,3,2,1,1,0,0,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.429,0.508,0.2,133.3,111.8,21.6,71.72,0.119
21100801,Kawhi Leonard,2011-12,2012-04-04,San Antonio Spurs,Boston Celtics,Away,Boston,W,Cleveland - Boston,551,America/New_York,~1.22 hours,0,0,51,18,0,0,0,2,0,0,0,0,NA,0,2,0,0,0,1,0,1,2,1,0,0,0,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.051,88.9,80.6,8.3,81.78,0.025
21100822,Kawhi Leonard,2011-12,2012-04-06,San Antonio Spurs,New Orleans Hornets,Home,San Antonio,W,Boston - San Antonio,1767,America/Chicago,~3.93 hours,1,1,52,21,6,-1,3,5,0.6,0,0,0,NA,3,5,0.6,0,0,2,2,4,1,1,0,0,1,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.6,0.6,0.098,126.1,95.8,30.3,88.47,0.089
21100839,Kawhi Leonard,2011-12,2012-04-08,San Antonio Spurs,Utah Jazz,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,53,27,6,0,3,4,0.75,0,0,0,NA,3,4,0.75,0,0,0,4,4,2,1,1,0,2,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0.75,0.069,107.3,96.4,10.9,82.5,0.118
21100850,Kawhi Leonard,2011-12,2012-04-09,San Antonio Spurs,Utah Jazz,Away,Salt Lake City,L,San Antonio - Salt Lake City,1087,America/Denver,~2.42 hours,0,0,54,26,7,-1,3,8,0.375,0,2,0,1,3,6,0.5,1,1,1,4,5,2,1,1,1,2,5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.375,0.415,0.164,112.8,100,12.8,73.83,0.084
