Opponent,Team,Date,Season,Month,Week,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff_home,avg_score_diff_away,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff,off_rating,def_rating,net_rating,pace,opp_off_rating,opp_def_rating,opp_net_rating,opp_pace,net_rating_diff,pace_diff
Philadelphia 76ers,Washington Wizards,2016-02-29,2015-16,Feb,9,FALSE,Washington,TRUE,0,No Travel,0,America/New_York,0,-,38.91,-77.02,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0,21500885,WAS vs. PHI,8,FALSE,FALSE,2.5365853658536586,-3.65,5.463414634146341,29,30,0.492,103,104.4,0.133,0.359,104.5,105.1,-0.5,99.16,98.4,108.6,-10.2,98.44,9.7,0.7199999999999989
Philadelphia 76ers,Portland Trail Blazers,2016-01-16,2015-16,Jan,3,TRUE,Philadelphia,FALSE,78,New York - Philadelphia,0,America/New_York,0,-,40.01,-75.13,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,21500606,POR @ PHI,-25,FALSE,FALSE,5.4,-4.048780487804878,-20.951219512195124,18,25,0.419,101.3,102.9,0.119,0.3,107.6,106.8,0.8,97.06,98.4,108.6,-10.2,98.44,11,-1.3799999999999955
Philadelphia 76ers,Brooklyn Nets,2016-03-11,2015-16,Mar,11,TRUE,Philadelphia,FALSE,333,Toronto - Philadelphia,2,America/New_York,0,-,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21500964,BKN @ PHI,-6,FALSE,FALSE,-4.825,-9.634146341463415,3.634146341463415,18,47,0.277,97.6,104.2,0.138,0.139,102.4,109.7,-7.4,96.12,98.4,108.6,-10.2,98.44,2.799999999999999,-2.319999999999993
Philadelphia 76ers,Cleveland Cavaliers,2015-12-20,2015-16,Dec,51,FALSE,Cleveland,TRUE,0,No Travel,2,America/New_York,0,-,41.48,-81.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500405,CLE vs. PHI,22,FALSE,FALSE,8.24390243902439,3.9,13.75609756097561,18,7,0.72,101.8,95.6,0.034,0.6859999999999999,110.2,103.9,6.3,93.82,98.4,108.6,-10.2,98.44,16.5,-4.6200000000000045
Philadelphia 76ers,Orlando Magic,2015-11-07,2015-16,Nov,45,TRUE,Philadelphia,TRUE,871,Orlando - Philadelphia,0,America/New_York,0,-,40.01,-75.13,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1.58,21500087,ORL @ PHI,8,FALSE,FALSE,2.425,-5.585365853658536,13.585365853658537,3,4,0.429,103.4,102.3,0,0.429,104.4,106,-1.6,96.68,98.4,108.6,-10.2,98.44,8.6,-1.759999999999991
Philadelphia 76ers,Miami Heat,2016-03-04,2015-16,Mar,10,TRUE,Philadelphia,TRUE,1026,Miami - Philadelphia,0,America/New_York,0,-,40.01,-75.13,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1.87,21500914,MIA @ PHI,10,FALSE,FALSE,5.25,-2.073170731707317,12.073170731707318,36,26,0.581,97.9,96.9,0.129,0.45199999999999996,105.5,103.7,1.7,94.14,98.4,108.6,-10.2,98.44,11.899999999999999,-4.299999999999997
Philadelphia 76ers,Toronto Raptors,2015-11-11,2015-16,Nov,45,TRUE,Philadelphia,TRUE,333,Toronto - Philadelphia,0,America/New_York,0,-,40.01,-75.13,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,21500115,TOR @ PHI,16,FALSE,FALSE,6.55,2.4390243902439024,13.560975609756097,6,3,0.667,102.3,97.8,0,0.667,109.3,104.8,4.4,93.35,98.4,108.6,-10.2,98.44,14.6,-5.090000000000003
Philadelphia 76ers,Sacramento Kings,2015-12-30,2015-16,Dec,52,FALSE,Sacramento,FALSE,77,San Francisco - Sacramento,1,America/Los_Angeles,0,-,38.57,-121.47,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,21500483,SAC vs. PHI,-5,FALSE,FALSE,-0.975,-3.8292682926829267,-4.025,12,20,0.375,104.2,107.3,0.088,0.28700000000000003,105.3,107.6,-2.3,100.66,98.4,108.6,-10.2,98.44,7.8999999999999995,2.219999999999999
Philadelphia 76ers,Cleveland Cavaliers,2015-11-02,2015-16,Nov,44,TRUE,Philadelphia,TRUE,358,Cleveland - Philadelphia,2,America/New_York,0,-,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21500046,CLE @ PHI,7,FALSE,FALSE,8.24390243902439,3.9,3.1,3,1,0.75,102.5,91.3,0,0.75,110.2,103.9,6.3,93.82,98.4,108.6,-10.2,98.44,16.5,-4.6200000000000045
Philadelphia 76ers,Toronto Raptors,2016-04-12,2015-16,Apr,15,FALSE,Toronto,TRUE,346,New York - Toronto,1,America/Toronto,0,-,43.65,-79.38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21501214,TOR vs. PHI,24,FALSE,FALSE,6.55,2.4390243902439024,17.45,55,26,0.679,102.7,98.2,0.123,0.556,109.3,104.8,4.4,93.35,98.4,108.6,-10.2,98.44,14.6,-5.090000000000003
