"PlayerPosition","idPlayer","namePlayer"
"G",1626153,"Delon Wright"
"G",201603,"Sonny Weems"
"G",204067,"Jarell Eddie"
"G",1626154,"RJ Hunter"
"G",1626179,"Terry Rozier"
"G",202726,"Andrew Goudelock"
"G",1626192,"Pat Connaughton"
"G",1626151,"Aaron Harrison"
"G",1626242,"Luis Montero"
"G",203951,"Keith Appling"
"G",1628021,"David Nwaba"
"G",1627785,"Isaiah Whitehead"
"G",1627763,"Malcolm Brogdon"
"G",203585,"Rodney McGruder"
"G",1627741,"Buddy Hield"
"G",1627750,"Jamal Murray"
"G",1627812,"Yogi Ferrell"
"G",1626150,"Andrew Harrison"
"G",1627747,"Caris LeVert"
"G",1627780,"Gary Payton II"
"G",1627758,"Ron Baker"
"G",1627782,"Wayne Selden"
"G",1627789,"Timothe Luwawu-Cabarrot"
"G",1627739,"Kris Dunn"
"G",1627756,"Denzel Valentine"
"G",1627755,"Tyler Ulis"
"G",1627775,"Patrick McCaw"
"G",203937,"Kyle Anderson"
"G",1626184,"Chasson Randle"
"G",1627098,"Malcolm Delaney"
"G",200771,"Sergio Rodriguez"
"G",202732,"DeAndre Liggins"
"G",1626780,"Jonathan Gibson"
"G",1627735,"Wade Baldwin IV"
"G",203518,"Alex Abrines"
"G",203902,"Semaj Christon"
"G",1627815,"Sheldon Mac"
"G",203107,"Tomas Satoransky"
"G",1626188,"Quinn Cook"
"G",1627879,"Nicolas Laprovittola"
"G",1626199,"Darrun Hilliard"
"G",1627761,"DeAndre' Bembry"
"G",203510,"Pierre Jackson"
"G",1627875,"Marcus Georges-Hunt"
"G",1627819,"Isaiah Taylor"
"G",1627832,"Fred VanVleet"
"G",1627736,"Malik Beasley"
"G",1627749,"Dejounte Murray"
"G",1627781,"Malachi Richardson"
"G",1627770,"Kay Felder"
"G",1627854,"Bryn Forbes"
"G",1627771,"Michael Gbinije"
"G",1626203,"Treveon Graham"
"G",201628,"Bobby Brown"
"G",1627817,"Tim Quarterman"
"G",1627868,"Patricio Garino"
"G",1627743,"Demetrius Jackson"
"G",1627732,"Ben Simmons"
"G",1628366,"Lonzo Ball"
"G",2544,"LeBron James"
"G",1627742,"Brandon Ingram"
"G",1627820,"Tyrone Wallace"
"G",1628415,"Dillon Brooks"
"G",1628372,"Dennis Smith Jr."
"G",1628404,"Josh Hart"
"G",1628378,"Donovan Mitchell"
"G",1628368,"De'Aaron Fox"
"G",1626159,"Justise Winslow"
"G",1627759,"Jaylen Brown"
"G",1628504,"Xavier Rathan-Mayes"
"G",1628462,"Milos Teodosic"
"G",203992,"Bogdan Bogdanovic"
"G",1627814,"Damion Lee"
"G",1628367,"Josh Jackson"
"G",2772,"Trevor Ariza"
"G",201281,"Andre Ingram"
"G",203710,"C.J. Williams"
"G",1628373,"Frank Ntilikina"
"G",1628365,"Markelle Fultz"
"G",1628935,"Aaron Jackson"
"G",1627982,"Josh Gray"
"G",1628455,"Mike James"
"G",1627885,"Shaquille Harrison"
"G",1628503,"Jamel Artis"
"G",1628414,"Sindarius Thornwell"
"G",1628470,"Torrey Craig"
"G",1628416,"Tyler Dorsey"
"G",1628379,"Luke Kennard"
"G",1627863,"Danuel House Jr."
"G",1628537,"Jaylen Morris"
"G",203962,"Josh Huestis"
"G",1628469,"Antonio Blakeney"
"G",1627858,"Kyle Collinsworth"
"G",1627884,"Derrick Jones Jr."
