"","isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast"
"476",TRUE,TRUE,"Amida Brimah",1628578,0,2020,2020
"477",FALSE,FALSE,"Audley Brindley",76255,0,1946,1946
"478",FALSE,FALSE,"Isaiah Briscoe",1628515,0,2018,2018
"479",FALSE,FALSE,"John Brisker",76256,2,1972,1974
"480",TRUE,FALSE,"Oshae Brissett",1629052,1,2019,2020
"481",FALSE,FALSE,"Allan Bristow",76257,9,1973,1982
"482",FALSE,FALSE,"Tyrone Britt",76258,0,1967,1967
"483",FALSE,FALSE,"Wayman Britt",76259,0,1977,1977
"484",FALSE,FALSE,"Mike Brittain",76260,1,1985,1986
"485",FALSE,FALSE,"David Britton",76261,0,1980,1980
"486",FALSE,FALSE,"Jon Brockman",201972,2,2009,2011
"487",FALSE,FALSE,"Ryan Broekhoff",1629151,1,2018,2019
"488",FALSE,FALSE,"Jim Brogan",76262,1,1981,1982
"489",TRUE,FALSE,"Malcolm Brogdon",1627763,4,2016,2020
"490",FALSE,FALSE,"Gary Brokaw",76263,3,1974,1977
"491",FALSE,FALSE,"Price Brookfield",76264,1,1948,1949
"492",FALSE,FALSE,"Aaron Brooks",201166,10,2007,2017
"493",TRUE,TRUE,"Armoni Brooks",1629717,0,2020,2020
"494",TRUE,FALSE,"Dillon Brooks",1628415,3,2017,2020
"495",FALSE,FALSE,"Kevin Brooks",76265,2,1991,1993
"496",FALSE,FALSE,"MarShon Brooks",202705,7,2011,2018
"497",FALSE,FALSE,"Michael Brooks",76266,7,1980,1987
"498",FALSE,FALSE,"Scott Brooks",418,9,1988,1997
"499",FALSE,FALSE,"Andre Brown",2810,2,2006,2008
"500",FALSE,FALSE,"Anthony Brown",1626148,2,2015,2017
"501",FALSE,FALSE,"Bob Brown",76284,1,1948,1949
"502",FALSE,FALSE,"Bobby Brown",201628,9,2008,2017
"503",TRUE,FALSE,"Bruce Brown",1628971,2,2018,2020
"504",FALSE,FALSE,"Chucky Brown",359,12,1989,2001
"505",FALSE,FALSE,"Damone Brown",2245,3,2001,2004
"506",FALSE,FALSE,"Darrell Brown",76270,0,1948,1948
"507",FALSE,FALSE,"Dee Brown",244,11,1990,2001
"508",FALSE,FALSE,"Dee Brown",200793,2,2006,2008
"509",FALSE,FALSE,"Derrick Brown",201974,2,2009,2011
"510",FALSE,FALSE,"Devin Brown",2484,7,2002,2009
"511",FALSE,FALSE,"Ernest Brown",2081,2,2001,2003
"512",FALSE,FALSE,"Fred Brown",76272,12,1971,1983
"513",FALSE,FALSE,"George Brown",76273,0,1957,1957
"514",FALSE,FALSE,"Gerald Brown",1871,0,1998,1998
"515",FALSE,FALSE,"Harold Brown",76275,0,1946,1946
"516",FALSE,FALSE,"Jabari Brown",203913,0,2014,2014
"517",TRUE,FALSE,"Jaylen Brown",1627759,4,2016,2020
"518",FALSE,FALSE,"John Brown",76276,6,1973,1979
"519",FALSE,FALSE,"Kedrick Brown",2208,3,2001,2004
"520",FALSE,FALSE,"Kwame Brown",2198,11,2001,2012
"521",FALSE,FALSE,"Leon Brown",76278,0,1946,1946
"522",FALSE,FALSE,"Lewis Brown",76279,0,1980,1980
"523",FALSE,FALSE,"Lorenzo Brown",203485,5,2013,2018
"524",FALSE,FALSE,"Marcus Brown",992,3,1996,1999
"525",FALSE,FALSE,"Markel Brown",203900,3,2014,2017
"526",FALSE,FALSE,"Mike Brown",1479,11,1986,1997
"527",TRUE,FALSE,"Moses Brown",1629650,1,2019,2020
"528",FALSE,FALSE,"Myron Brown",76277,0,1991,1991
"529",FALSE,FALSE,"P.J. Brown",136,14,1993,2007
"530",FALSE,FALSE,"Randy Brown",753,11,1991,2002
"531",FALSE,FALSE,"Raymond Brown",76282,0,1989,1989
"532",FALSE,FALSE,"Rickey Brown",76283,4,1980,1984
"533",FALSE,FALSE,"Roger Brown",76286,7,1972,1979
"534",FALSE,FALSE,"Shannon Brown",200769,8,2006,2014
"535",FALSE,FALSE,"Stan Brown",76285,4,1947,1951
"536",TRUE,FALSE,"Sterling Brown",1628425,3,2017,2020
"537",FALSE,FALSE,"Tierre Brown",2357,3,2001,2004
"538",FALSE,FALSE,"Tony Brown",76268,7,1984,1991
"539",TRUE,FALSE,"Charlie Brown Jr.",1629718,1,2019,2020
"540",TRUE,FALSE,"Troy Brown Jr.",1628972,2,2018,2020
"541",FALSE,FALSE,"Jim Browne",76287,1,1948,1949
"542",FALSE,FALSE,"Stanley Brundy",76288,0,1989,1989
"543",TRUE,FALSE,"Jalen Brunson",1628973,2,2018,2020
"544",FALSE,FALSE,"Rick Brunson",1594,8,1997,2005
