"","test_actual","test_fold","type","test_preds"
"450",2.1,"6","w60_tf",4.88428413932803
"451",-27.9,"6","sn_net_rating_diff",-11.9018454051833
"452",-27.9,"6","w60_en",-10.3843049059239
"453",-27.9,"6","w_40",-11.8091895535993
"454",-27.9,"6","w40_t",-11.1410306087695
"455",-27.9,"6","w40_td",-11.0926385226498
"456",-27.9,"6","w60_tf",-10.4059860241577
"457",8.6,"6","sn_net_rating_diff",0.527856477513276
"458",8.6,"6","w60_en",-0.784677528288991
"459",8.6,"6","w_40",0.365396873953855
"460",8.6,"6","w40_t",0.00223979131533225
"461",8.6,"6","w40_td",-0.0299199102872125
"462",8.6,"6","w60_tf",-1.19738036669131
"463",-15.7,"6","sn_net_rating_diff",-12.3836167959855
"464",-15.7,"6","w60_en",-11.0811697240842
"465",-15.7,"6","w_40",-12.2473531606008
"466",-15.7,"6","w40_t",-12.0573714433398
"467",-15.7,"6","w40_td",-11.8939692233711
"468",-15.7,"6","w60_tf",-12.8983208621189
"469",-12.8,"6","sn_net_rating_diff",-4.48256598682953
"470",-12.8,"6","w60_en",-4.13168519936967
"471",-12.8,"6","w_40",-4.69937997776945
"472",-12.8,"6","w40_t",-4.31083471822188
"473",-12.8,"6","w40_td",-5.22038804978439
"474",-12.8,"6","w60_tf",-1.910134028594
"475",6.1,"6","sn_net_rating_diff",-9.3966341730119
"476",6.1,"6","w60_en",-7.20733887308668
"477",6.1,"6","w_40",-8.9865489777391
"478",6.1,"6","w40_t",-8.81190280753417
"479",6.1,"6","w40_td",-8.73001221905136
"480",6.1,"6","w60_tf",-8.20402808704015
"481",6.5,"6","sn_net_rating_diff",7.75442733954617
"482",6.5,"6","w60_en",6.19901075665492
"483",6.5,"6","w_40",6.47450231642272
"484",6.5,"6","w40_t",6.05887220101364
"485",6.5,"6","w40_td",5.10946083042864
"486",6.5,"6","w60_tf",7.35193350840923
"487",-4.3,"6","sn_net_rating_diff",0.142439364871522
"488",-4.3,"6","w60_en",0.407693725000724
"489",-4.3,"6","w_40",0.279539785353196
"490",-4.3,"6","w40_t",0.453731597015003
"491",-4.3,"6","w40_td",0.753071826193788
"492",-4.3,"6","w60_tf",1.05969169211628
"493",-3.3,"6","sn_net_rating_diff",1.49139925911766
"494",-3.3,"6","w60_en",0.62793031474169
"495",-3.3,"6","w_40",1.1079933764067
"496",-3.3,"6","w40_t",0.651719229316165
"497",-3.3,"6","w40_td",0.482808801728237
"498",-3.3,"6","w60_tf",0.0975643987350061
"499",-2.2,"6","sn_net_rating_diff",1.20233642463635
"500",-2.2,"6","w60_en",0.177887577480462
"501",-2.2,"6","w_40",1.30512885993864
"502",-2.2,"6","w40_t",0.768996528066618
"503",-2.2,"6","w40_td",0.785706311668388
"504",-2.2,"6","w60_tf",2.65921549430965
"505",-20.4,"6","sn_net_rating_diff",1.87681637175942
"506",-20.4,"6","w60_en",0.774553074112747
"507",-20.4,"6","w_40",2.34657152794756
"508",-20.4,"6","w40_t",1.92609831786345
"509",-20.4,"6","w40_td",3.13892559804456
"510",-20.4,"6","w60_tf",3.42853206422126
"511",-17.8,"6","sn_net_rating_diff",-9.10757133853058
"512",-17.8,"6","w60_en",-9.13014250373533
"513",-17.8,"6","w_40",-9.2187181406349
"514",-17.8,"6","w40_t",-9.41130739655629
"515",-17.8,"6","w40_td",-10.9123500206133
"516",-17.8,"6","w60_tf",-10.4665255192761
"517",8.2,"6","sn_net_rating_diff",1.68410781543854
"518",8.2,"6","w60_en",0.494203543111538
"519",8.2,"6","w_40",1.67096487083414
"520",8.2,"6","w40_t",1.45089647203228
"521",8.2,"6","w40_td",2.93364837170021
"522",8.2,"6","w60_tf",1.04759455513392
"523",-15.4,"6","sn_net_rating_diff",-5.54246304659435
"524",-15.4,"6","w60_en",-5.07829334942728
"525",-15.4,"6","w_40",-5.26237380225994
"526",-15.4,"6","w40_t",-4.30831248000358
"527",-15.4,"6","w40_td",-4.03548248039056
"528",-15.4,"6","w60_tf",-4.45222364215173
"529",-46.7,"6","sn_net_rating_diff",-13.5398681339108
"530",-46.7,"6","w60_en",-11.4347698850898
"531",-46.7,"6","w_40",-12.7693721996655
"532",-46.7,"6","w40_t",-12.5488417705699
"533",-46.7,"6","w40_td",-13.1419266907924
"534",-46.7,"6","w60_tf",-14.0567690202501
"535",-11.3,"6","sn_net_rating_diff",-4.28985743050865
"536",-11.3,"6","w60_en",-3.36838938594557
"537",-11.3,"6","w_40",-4.33719290378226
"538",-11.3,"6","w40_t",-3.65302464421956
"539",-11.3,"6","w40_td",-4.24497590653715
