"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","season"
1610612752,"NYK","New York Knicks",81,28,53,241.85,241.85,92260.65,17.47,9.37,8.1,4.36,4.63,4.09,2017
1610612760,"OKC","Oklahoma City Thunder",80,48,32,241.87,241.87,88550.58,16.77,8.64,8.13,4.16,4.44,3.91,2017
1610612753,"ORL","Orlando Magic",82,25,57,240.61,240.61,90962.38,17.23,9.22,8.01,4.34,4.66,4.02,2017
1610612755,"PHI","Philadelphia 76ers",81,52,29,241.23,241.23,93815.95,17.77,9.52,8.25,4.42,4.86,4.01,2017
1610612756,"PHX","Phoenix Suns",82,21,61,240.3,240.3,92343.89,17.49,9.42,8.07,4.38,4.76,4,2017
1610612757,"POR","Portland Trail Blazers",82,49,33,240.91,240.91,90587.32,17.16,9.45,7.71,4.29,4.58,3.99,2017
1610612758,"SAC","Sacramento Kings",82,27,55,240.91,240.91,91529.32,17.34,9.35,7.98,4.35,4.62,4.06,2017
1610612759,"SAS","San Antonio Spurs",82,47,35,240.61,240.61,93481.22,17.7,9.78,7.93,4.43,4.75,4.08,2017
1610612761,"TOR","Toronto Raptors",82,59,23,240.63,240.63,92658.02,17.55,9.45,8.1,4.4,4.76,4.05,2017
1610612762,"UTA","Utah Jazz",82,48,34,240.91,240.91,91259.82,17.28,9.47,7.81,4.34,4.65,4.01,2017
1610612764,"WAS","Washington Wizards",82,43,39,242.13,242.13,90053.04,17.06,9.05,8.01,4.26,4.49,4.02,2017
1610612737,"ATL","Atlanta Hawks",82,29,53,242.13,242.13,98724.41,18.7,10.06,8.63,4.31,4.71,3.92,2018
1610612738,"BOS","Boston Celtics",82,49,33,241.22,241.22,94643.32,17.92,9.49,8.43,4.18,4.54,3.84,2018
1610612751,"BKN","Brooklyn Nets",82,42,40,243.66,243.66,97682.98,18.5,10.29,8.21,4.25,4.68,3.81,2018
1610612766,"CHA","Charlotte Hornets",82,39,43,241.83,241.83,96800.46,18.33,10.05,8.29,4.27,4.66,3.88,2018
1610612741,"CHI","Chicago Bulls",81,22,59,242.78,242.78,98199.12,18.6,10.07,8.52,4.32,4.68,3.96,2018
1610612739,"CLE","Cleveland Cavaliers",82,19,63,240.91,240.91,93234.5,17.66,9.77,7.89,4.17,4.44,3.88,2018
1610612742,"DAL","Dallas Mavericks",82,33,49,241.22,241.22,94780.4,17.95,9.94,8.01,4.16,4.5,3.81,2018
1610612743,"DEN","Denver Nuggets",82,54,28,240.61,240.61,94892.15,17.97,9.76,8.21,4.2,4.5,3.89,2018
1610612765,"DET","Detroit Pistons",82,41,41,242.13,242.13,95087.96,18.01,10.01,8,4.2,4.47,3.91,2018
1610612744,"GSW","Golden State Warriors",82,57,25,241.52,241.52,93802.6,17.77,9.43,8.34,4.2,4.66,3.77,2018
1610612745,"HOU","Houston Rockets",82,53,29,241.83,241.83,89954.37,17.04,9.08,7.96,3.96,4.19,3.74,2018
