"player_id","player_name","team_id","team_abbreviation","gp","w","l","min","drives","drive_fgm","drive_fga","drive_fg_pct","drive_ftm","drive_fta","drive_ft_pct","drive_pts","drive_pts_pct","drive_passes","drive_passes_pct","drive_ast","drive_ast_pct","drive_tov","drive_tov_pct","drive_pf","drive_pf_pct","date"
201565,"Derrick Rose",1610612741,"CHI",1,1,0,21.4,6,1,1,1,0,0,0,2,0.333,3,0.5,2,0.333,0,0,0,0,"10/29/2014"
202682,"Derrick Williams",1610612758,"SAC",1,0,1,12.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
202388,"Donald Sloan",1610612754,"IND",1,1,0,34.2,10,3,5,0.6,2,2,1,8,0.8,3,0.3,1,0.1,0,0,1,0.1,"10/29/2014"
202700,"Donatas Motiejunas",1610612745,"HOU",1,1,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
2748,"Dorell Wright",1610612757,"POR",1,1,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203926,"Doug McDermott",1610612741,"CHI",1,1,0,24.3,2,1,1,1,0,0,0,2,1,0,0,1,0.5,0,0,0,0,"10/29/2014"
203110,"Draymond Green",1610612744,"GSW",1,1,0,34.4,1,0,0,0,2,2,1,2,2,0,0,0,0,0,0,1,1,"10/29/2014"
2400,"Drew Gooden",1610612764,"WAS",1,0,1,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
2730,"Dwight Howard",1610612745,"HOU",1,1,0,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
2548,"Dwyane Wade",1610612748,"MIA",1,1,0,31.4,11,1,2,0.5,0,0,0,2,0.182,8,0.727,0,0,0,0,0,0,"10/29/2014"
202734,"E'Twaun Moore",1610612741,"CHI",1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
202334,"Ed Davis",1610612747,"LAL",1,0,1,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
1882,"Elton Brand",1610612737,"ATL",1,0,1,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
202683,"Enes Kanter",1610612760,"OKC",1,0,1,22.1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
202339,"Eric Bledsoe",1610612756,"PHX",1,1,0,26.1,6,0,1,0,0,0,0,0,0,1,0.167,3,0.5,0,0,0,0,"10/29/2014"
101141,"Ersan Ilyasova",1610612749,"MIL",1,0,1,11.8,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,"10/29/2014"
202323,"Evan Turner",1610612738,"BOS",1,1,0,23.6,12,1,3,0.333,0,0,0,2,0.167,6,0.5,1,0.083,1,0.083,0,0,"10/29/2014"
203105,"Festus Ezeli",1610612744,"GSW",1,1,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
202066,"Garrett Temple",1610612764,"WAS",1,0,1,30.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
202390,"Gary Neal",1610612750,"MIN",1,1,0,23.6,7,2,6,0.333,2,2,1,6,0.857,0,0,0,0,0,0,1,0.143,"10/29/2014"
101123,"Gerald Green",1610612756,"PHX",1,1,0,22,4,2,2,1,1,2,0.5,5,1.25,0,0,0,0,1,0.25,1,0.25,"10/29/2014"
201945,"Gerald Henderson",1610612766,"CHA",1,1,0,8.8,2,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,"10/29/2014"
203507,"Giannis Antetokounmpo",1610612749,"MIL",1,0,1,24,3,0,1,0,2,2,1,2,0.667,1,0.333,0,0,0,0,1,0.333,"10/29/2014"
201609,"Goran Dragic",1610612748,"MIA",1,1,0,26.2,11,3,4,0.75,2,2,1,8,0.727,4,0.364,1,0.091,1,0.091,1,0.091,"10/29/2014"
202330,"Gordon Hayward",1610612762,"UTA",1,0,1,38.1,10,3,7,0.429,2,2,1,8,0.8,1,0.1,0,0,1,0.1,1,0.1,"10/29/2014"
203476,"Gorgui Dieng",1610612750,"MIN",1,0,1,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
202349,"Greivis Vasquez",1610612761,"TOR",1,1,0,17.3,5,2,3,0.667,0,0,0,4,0.8,2,0.4,0,0,0,0,0,0,"10/29/2014"
203084,"Harrison Barnes",1610612744,"GSW",1,1,0,28.8,2,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,"10/29/2014"
203156,"Henry Sims",1610612755,"PHI",1,0,1,23.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203138,"Hollis Thompson",1610612755,"PHI",1,0,1,28.5,3,1,2,0.5,0,0,0,2,0.667,1,0.333,0,0,0,0,0,0,"10/29/2014"
101133,"Ian Mahinmi",1610612754,"IND",1,1,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
202697,"Iman Shumpert",1610612739,"CLE",1,0,1,20.2,4,1,3,0.333,0,0,0,2,0.5,1,0.25,0,0,0,0,0,0,"10/29/2014"
203477,"Isaiah Canaan",1610612755,"PHI",1,1,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
202738,"Isaiah Thomas",1610612738,"BOS",1,1,0,20.3,4,1,1,1,0,0,0,2,0.5,3,0.75,0,0,0,0,0,0,"10/29/2014"
2747,"JR Smith",1610612739,"CLE",1,0,1,21.6,4,0,1,0,2,2,1,2,0.5,0,0,1,0.25,0,0,1,0.25,"10/29/2014"
